TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1545631923014	-117.062637	-1.214403	-0.607620	0.999886	0.002155	0.003064	0.014627	1.000000	0.000000	0.000000	2	0	4759.345703	10.205037	img__0_1545631923008727100.png
1545631923240	-116.378914	-1.194534	-0.607542	0.999888	0.001924	0.002996	0.014515	1.000000	0.000000	0.000000	2	0	4761.500000	10.421937	img__0_1545631923234678400.png
1545631923471	-115.681847	-1.174564	-0.607541	0.999893	0.001895	0.002076	0.014358	1.000000	0.000000	0.000000	2	0	4762.845703	10.647430	img__0_1545631923468271500.png
1545631923688	-114.968933	-1.154191	-0.607555	0.999893	0.001679	0.001968	0.014399	1.000000	0.000000	0.000000	2	0	4769.071777	10.859969	img__0_1545631923683264900.png
1545631923913	-114.241646	-1.133658	-0.607555	0.999893	0.001500	0.001940	0.014401	1.000000	0.000000	0.000000	2	0	4778.909180	11.075188	img__0_1545631923909874700.png
1545631924135	-113.499451	-1.114226	-0.606338	0.999905	0.001048	0.002463	0.013533	1.000000	0.000000	0.000000	2	0	4793.122559	11.283796	img__0_1545631924127185600.png
1545631924362	-112.744072	-1.095338	-0.606321	0.999915	0.000560	0.002399	0.012813	1.000000	0.000000	0.000000	2	0	4808.771484	11.489368	img__0_1545631924352481700.png
1545631924582	-111.974968	-1.076363	-0.606337	0.999918	0.000316	0.002362	0.012597	1.000000	0.000000	0.000000	2	0	4827.149902	11.693876	img__0_1545631924576706200.png
1545631924805	-111.192284	-1.057201	-0.606348	0.999919	0.000187	0.002330	0.012532	1.000000	0.000000	0.000000	2	0	4847.978516	11.895295	img__0_1545631924798425800.png
1545631925033	-110.396217	-1.037753	-0.606355	0.999919	0.000113	0.002300	0.012509	1.000000	0.000000	0.000000	2	0	4871.072266	12.094234	img__0_1545631925026842700.png
1545631925247	-109.586922	-1.017979	-0.606359	0.999919	0.000069	0.002273	0.012500	1.000000	0.000000	0.000000	0	0	5015.118652	12.291204	img__0_1545631925241026700.png
1545631925471	-108.770721	-0.998003	-0.606179	0.999921	0.000048	0.001610	0.012503	1.000000	0.000000	0.000000	0	0	4900.116699	12.288167	img__0_1545631925468187400.png
1545631925691	-107.955093	-0.978094	-0.606043	0.999921	0.000041	0.001096	0.012507	1.000000	-0.500000	0.000000	0	0	4787.752441	12.276801	img__0_1545631925686192900.png
1545631925920	-107.140015	-0.961667	-0.605949	0.999937	0.000243	0.000739	0.011174	1.000000	0.000000	0.000000	3	0	4345.777344	12.316053	img__0_1545631925918050300.png
1545631926139	-106.314941	-0.944070	-0.606111	0.999941	0.000242	0.001301	0.010747	1.000000	0.000000	0.000000	3	0	4276.942383	12.528299	img__0_1545631926136174700.png
1545631926366	-105.476036	-0.926418	-0.606198	0.999943	0.000229	0.001598	0.010590	1.000000	0.000000	0.000000	3	0	4214.759277	12.737034	img__0_1545631926358721300.png
1545631926588	-104.623444	-0.908669	-0.606249	0.999943	0.000206	0.001775	0.010537	1.000000	0.000000	0.000000	3	0	4211.018066	12.896914	img__0_1545631926581615800.png
1545631926803	-103.762177	-0.890521	-0.601174	0.999943	0.000175	0.000126	0.010628	1.000000	0.000000	0.000000	3	0	4181.323730	13.084069	img__0_1545631926798566500.png
1545631927024	-102.886948	-0.871918	-0.600925	0.999942	0.000130	-0.000236	0.010730	1.000000	0.000000	0.000000	3	0	4137.422852	13.285701	img__0_1545631927020287200.png
1545631927242	-101.996094	-0.851578	-0.597535	0.999941	-0.000951	0.001464	0.010693	1.000000	0.000000	0.000000	3	0	4101.936035	13.481849	img__0_1545631927238284100.png
1545631927466	-101.093964	-0.833820	-0.595491	0.999940	-0.000315	0.001901	0.010796	1.000000	0.000000	0.000000	3	0	4069.621582	13.668577	img__0_1545631927460727700.png
1545631927681	-100.179901	-0.814535	-0.595558	0.999940	-0.000102	0.002008	0.010800	1.000000	0.000000	0.000000	3	0	4045.265869	13.849035	img__0_1545631927677207400.png
1545631927909	-99.253914	-0.794785	-0.595680	0.999940	-0.000016	0.002033	0.010795	1.000000	0.000000	0.000000	3	0	4026.431885	14.026491	img__0_1545631927906040000.png
1545631928123	-98.316139	-0.774772	-0.595771	0.999940	0.000021	0.002028	0.010792	1.000000	0.000000	0.000000	3	0	4012.727295	14.200795	img__0_1545631928118600200.png
1545631928348	-97.366814	-0.754523	-0.595836	0.999940	0.000035	0.002012	0.010791	1.000000	0.000000	0.000000	3	0	4003.720947	14.371910	img__0_1545631928341907300.png
1545631928564	-96.406128	-0.734039	-0.595882	0.999940	0.000037	0.001990	0.010791	1.000000	0.000000	0.000000	3	0	3998.969238	14.539966	img__0_1545631928560150000.png
1545631928778	-95.434296	-0.713317	-0.595915	0.999940	0.000034	0.001965	0.010791	1.000000	0.000000	0.000000	3	0	3998.044922	14.705205	img__0_1545631928774731000.png
1545631928991	-94.451492	-0.692351	-0.595939	0.999940	0.000029	0.001940	0.010791	1.000000	0.000000	0.000000	3	0	4000.548096	14.867846	img__0_1545631928986856300.png
1545631929210	-93.457878	-0.671145	-0.595954	0.999940	0.000024	0.001915	0.010791	1.000000	0.000000	0.000000	3	0	4006.108154	15.028140	img__0_1545631929205448800.png
1545631929426	-92.453621	-0.649696	-0.595965	0.999940	0.000019	0.001891	0.010791	1.000000	0.000000	0.000000	3	0	4014.387451	15.186289	img__0_1545631929421517600.png
1545631929639	-91.438858	-0.628007	-0.595971	0.999940	0.000015	0.001868	0.010791	1.000000	0.000000	0.000000	3	0	4025.077637	15.342499	img__0_1545631929633816700.png
1545631929856	-90.413712	-0.606079	-0.595975	0.999940	0.000012	0.001846	0.010792	1.000000	0.000000	0.000000	3	0	4037.902588	15.496949	img__0_1545631929852676800.png
1545631930069	-89.378296	-0.583916	-0.595977	0.999940	0.000010	0.001826	0.010792	1.000000	-0.500000	0.000000	3	0	4053.741455	15.648046	img__0_1545631930066478000.png
1545631930286	-88.332909	-0.568345	-0.595973	0.999966	0.000489	0.001790	0.008068	1.000000	0.000000	0.000000	3	0	4067.940430	15.800716	img__0_1545631930282972400.png
1545631930500	-87.275978	-0.553873	-0.601014	0.999976	0.000660	0.003433	0.006003	1.000000	0.000000	0.000000	3	0	4111.013672	15.934048	img__0_1545631930494012200.png
1545631930715	-86.211021	-0.540535	-0.601313	0.999979	0.000746	0.003864	0.005082	1.000000	0.000000	0.000000	3	0	4130.110352	16.083326	img__0_1545631930711306700.png
1545631930922	-85.138672	-0.528428	-0.606787	0.999986	0.000775	0.002215	0.004657	1.000000	0.000000	0.000000	3	0	4149.214844	16.226885	img__0_1545631930917802000.png
1545631931127	-84.054863	-0.517272	-0.606817	0.999988	0.000752	0.001831	0.004477	1.000000	0.000000	0.000000	3	0	4167.238770	16.375427	img__0_1545631931124848000.png
1545631931355	-82.960678	-0.506776	-0.606863	0.999988	0.000615	0.001815	0.004405	1.000000	0.000000	0.000000	3	0	4187.555664	16.522631	img__0_1545631931352483800.png
1545631931556	-81.856789	-0.496810	-0.606573	0.999989	0.000568	0.001733	0.004389	1.000000	0.000000	0.000000	3	0	4208.045898	16.669064	img__0_1545631931550719400.png
1545631931767	-80.743294	-0.486807	-0.606782	0.999989	0.000378	0.001560	0.004410	1.000000	0.000000	0.000000	3	0	4229.585938	16.814959	img__0_1545631931763022700.png
1545631931963	-79.619797	-0.478854	-0.606420	0.999992	0.000485	0.001657	0.003685	1.000000	-0.500000	0.000000	3	0	4255.840820	16.953617	img__0_1545631931959400300.png
1545631932175	-78.487114	-0.478081	-0.606366	0.999998	0.000882	0.001674	0.000419	1.000000	0.000000	0.000000	3	0	4278.857422	17.097649	img__0_1545631932169334000.png
1545631932382	-77.344307	-0.476764	-0.607241	0.999997	0.000681	0.002096	-0.001011	1.000000	0.000000	0.000000	3	0	4302.473633	17.240417	img__0_1545631932372718400.png
1545631932599	-76.192482	-0.477357	-0.607498	0.999996	0.000330	0.002164	-0.001592	1.000000	0.000000	0.000000	3	0	4326.819824	17.382547	img__0_1545631932593299400.png
1545631932805	-75.031830	-0.479478	-0.608384	0.999997	-0.000162	0.001748	-0.001768	1.000000	0.000000	0.000000	3	0	4350.813477	17.524773	img__0_1545631932799118700.png
1545631933017	-73.862473	-0.483020	-0.607095	0.999998	-0.000451	0.000871	-0.001760	1.000000	0.000000	0.000000	3	0	4377.395996	17.665510	img__0_1545631933010884200.png
1545631933211	-72.682259	-0.487134	-0.607390	0.999998	-0.000443	0.001064	-0.001772	1.000000	0.000000	0.000000	3	0	4402.958008	17.805773	img__0_1545631933208216800.png
1545631933416	-71.491798	-0.491843	-0.605887	0.999997	-0.000065	0.001910	-0.001782	1.000000	0.000000	0.000000	3	0	4428.756348	17.944927	img__0_1545631933407397000.png
