TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1545631453644	4.798389	-0.291422	-0.604618	0.999400	-0.000733	0.001477	-0.034599	1.000000	0.000000	0.000000	2	0	4360.591309	4.723422	img__0_1545631453637357600.png
1545631453790	5.115989	-0.313756	-0.604825	0.999399	-0.000853	0.001583	-0.034619	1.000000	0.000000	0.000000	2	0	4392.046875	4.926181	img__0_1545631453787249200.png
1545631453955	5.445543	-0.337446	-0.602757	0.999398	-0.000447	0.000516	-0.034678	1.000000	0.000000	0.000000	2	0	4358.631348	5.201419	img__0_1545631453947439000.png
1545631454092	5.793552	-0.360911	-0.611393	0.999407	-0.000432	0.000673	-0.034436	1.000000	0.000000	0.000000	2	0	4361.023438	5.383207	img__0_1545631454088754400.png
1545631454261	6.153709	-0.386370	-0.611041	0.999420	-0.000290	0.000822	-0.034044	1.000000	0.000000	0.000000	2	0	4298.589844	5.655887	img__0_1545631454250739500.png
1545631454396	6.540130	-0.413589	-0.610698	0.999380	-0.000208	0.001863	-0.035154	1.000000	0.000000	0.000000	2	0	4250.235352	5.753331	img__0_1545631454388033300.png
1545631454542	6.934061	-0.437725	-0.610307	0.999427	-0.000423	0.002138	-0.033763	1.000000	0.500000	0.000000	2	0	4212.964844	6.314261	img__0_1545631454536613600.png
1545631454684	7.347926	-0.458416	-0.609596	0.999530	-0.000672	0.000827	-0.030627	1.000000	0.000000	0.000000	2	0	4241.550293	6.410807	img__0_1545631454680641300.png
1545631454828	7.783276	-0.484083	-0.602717	0.999549	-0.000390	0.001088	-0.030018	1.000000	0.000000	0.000000	2	0	4229.130859	6.490963	img__0_1545631454821909300.png
1545631454986	8.225687	-0.510586	-0.601798	0.999547	-0.000145	0.001030	-0.030064	1.000000	0.000000	0.000000	2	0	4206.761719	6.999030	img__0_1545631454978873200.png
1545631455126	8.687235	-0.538234	-0.601385	0.999549	-0.000082	-0.000170	-0.030040	1.000000	0.000000	0.000000	2	0	4167.964844	7.220429	img__0_1545631455123244300.png
1545631455273	9.170454	-0.564908	-0.601426	0.999582	-0.000196	0.000120	-0.028902	1.000000	0.000000	0.000000	2	0	4150.233887	7.507539	img__0_1545631455269702700.png
1545631455420	9.666792	-0.593037	-0.601267	0.999595	-0.000154	-0.000353	-0.028470	1.000000	0.000000	0.000000	2	0	4129.553711	7.645410	img__0_1545631455417233600.png
1545631455570	10.186649	-0.622871	-0.596027	0.999593	-0.000014	0.002386	-0.028412	1.000000	0.000000	0.000000	2	0	4128.061035	7.821421	img__0_1545631455567687200.png
1545631455718	10.717264	-0.653040	-0.596026	0.999591	0.000045	0.003151	-0.028435	1.000000	0.000000	0.000000	2	0	4122.281250	8.064694	img__0_1545631455715755600.png
1545631455864	11.263011	-0.680983	-0.596148	0.999626	-0.000179	0.003263	-0.027151	1.000000	0.500000	0.000000	2	0	4126.247559	8.286030	img__0_1545631455857911700.png
1545631456018	11.823375	-0.694719	-0.596188	0.999791	-0.001227	0.003196	-0.020157	1.000000	0.000000	0.000000	2	0	4137.277344	8.503427	img__0_1545631456004276600.png
1545631456151	12.398411	-0.708600	-0.596224	0.999875	-0.001394	0.003162	-0.015449	1.000000	0.000000	0.000000	2	0	4147.561523	8.721717	img__0_1545631456148529200.png
1545631456297	12.987933	-0.725963	-0.596254	0.999889	-0.001141	0.003127	-0.014505	1.000000	0.000000	0.000000	2	0	4157.460449	8.947187	img__0_1545631456294677500.png
1545631456437	13.592261	-0.743539	-0.596271	0.999892	-0.000890	0.003082	-0.014371	1.000000	0.000000	0.000000	2	0	4170.663086	9.162649	img__0_1545631456434870100.png
1545631456583	14.210864	-0.761326	-0.596280	0.999893	-0.000660	0.003036	-0.014301	1.000000	0.000000	0.000000	2	0	4187.081055	9.381073	img__0_1545631456580612700.png
1545631456730	14.843813	-0.779440	-0.596283	0.999893	-0.000465	0.002988	-0.014318	1.000000	0.000000	0.000000	2	0	4206.400391	9.591056	img__0_1545631456726771700.png
1545631456871	15.490666	-0.797911	-0.596284	0.999894	-0.000309	0.002944	-0.014288	1.000000	0.000000	0.000000	2	0	4228.456055	9.802398	img__0_1545631456868320600.png
1545631457015	16.151423	-0.816766	-0.596280	0.999894	-0.000191	0.002899	-0.014295	1.000000	0.000000	0.000000	2	0	4252.983887	10.007952	img__0_1545631457011595900.png
1545631457155	16.825768	-0.836001	-0.596276	0.999894	-0.000105	0.002858	-0.014277	1.000000	0.000000	0.000000	2	0	4279.810059	10.213021	img__0_1545631457151202300.png
1545631457299	17.513626	-0.855616	-0.596269	0.999894	-0.000046	0.002817	-0.014274	1.000000	0.000000	0.000000	2	0	4308.720215	10.414482	img__0_1545631457295964000.png
1545631457439	18.214792	-0.875608	-0.596263	0.999894	-0.000005	0.002778	-0.014262	1.000000	0.000000	0.000000	2	0	4339.542969	10.614392	img__0_1545631457435988900.png
1545631457584	18.929142	-0.895970	-0.596255	0.999895	0.000021	0.002741	-0.014255	1.000000	0.000000	0.000000	2	0	4372.098633	10.811891	img__0_1545631457581659300.png
1545631457728	19.656530	-0.916699	-0.596248	0.999895	0.000039	0.002705	-0.014246	1.000000	0.000000	0.000000	2	0	4406.230957	11.007584	img__0_1545631457722912100.png
1545631457880	20.396833	-0.937789	-0.596239	0.999895	0.000049	0.002671	-0.014237	1.000000	0.000000	0.000000	2	0	4441.787109	11.201398	img__0_1545631457877207300.png
1545631458003	21.149929	-0.959233	-0.596231	0.999895	0.000056	0.002638	-0.014229	1.000000	0.000000	0.000000	2	0	4478.629395	11.393520	img__0_1545631457999580000.png
1545631458134	21.915705	-0.981029	-0.596223	0.999896	0.000059	0.002606	-0.014221	1.000000	0.000000	0.000000	2	0	4516.630371	11.584042	img__0_1545631458132686700.png
1545631458277	22.694059	-1.003173	-0.596215	0.999896	0.000061	0.002575	-0.014212	1.000000	0.000000	0.000000	2	0	4555.672363	11.773056	img__0_1545631458270062100.png
1545631458416	23.484884	-1.025658	-0.596207	0.999896	0.000061	0.002546	-0.014204	1.000000	0.000000	0.000000	2	0	4595.647949	11.960669	img__0_1545631458410578100.png
1545631458556	24.288097	-1.048484	-0.596200	0.999896	0.000062	0.002517	-0.014196	1.000000	0.000000	0.000000	2	0	4636.460449	12.146943	img__0_1545631458552732900.png
1545631458694	25.103605	-1.071645	-0.596192	0.999896	0.000061	0.002490	-0.014188	1.000000	0.000000	0.000000	2	0	4678.016602	12.331963	img__0_1545631458688167800.png
1545631458832	25.931311	-1.093108	-0.596181	0.999908	-0.000100	0.002458	-0.013342	1.000000	0.500000	0.000000	2	0	4723.255859	12.509872	img__0_1545631458827855500.png
1545631458966	26.770742	-1.103104	-0.596162	0.999964	-0.000932	0.002400	-0.008087	1.000000	0.500000	0.000000	2	0	4774.114258	12.674615	img__0_1545631458963026200.png
1545631459111	27.621429	-1.098329	-0.596153	0.999995	-0.002060	0.002369	0.000833	1.000000	0.000000	0.000000	2	0	4818.811035	12.856787	img__0_1545631459108090600.png
1545631459257	28.484020	-1.093678	-0.596144	0.999982	-0.002260	0.002336	0.004955	1.000000	0.000000	0.000000	2	0	4861.953613	13.037759	img__0_1545631459249761500.png
1545631459387	29.358593	-1.086505	-0.596140	0.999975	-0.002226	0.002320	0.006306	1.000000	0.000000	0.000000	0	0	5012.595703	13.217680	img__0_1545631459384172700.png
1545631459530	30.239576	-1.076937	-0.595975	0.999974	-0.002045	0.001740	0.006715	1.000000	0.000000	0.000000	0	0	4897.651855	13.210822	img__0_1545631459520555000.png
1545631459669	31.119928	-1.066038	-0.595853	0.999974	-0.001753	0.001302	0.006850	1.000000	0.000000	0.000000	0	0	4785.343750	13.200719	img__0_1545631459665978700.png
1545631459807	31.999584	-1.054448	-0.595763	0.999975	-0.001414	0.000979	0.006894	1.000000	0.000000	0.000000	3	0	4350.434570	13.247526	img__0_1545631459802016800.png
1545631459946	32.888943	-1.042377	-0.595910	0.999974	-0.001089	0.001500	0.006908	1.000000	0.000000	0.000000	3	0	4297.958008	13.447054	img__0_1545631459937818000.png
1545631460100	34.245129	-1.030284	-0.595846	0.999990	-0.000217	0.001286	0.004272	1.000000	0.000000	0.000000	3	0	4233.791992	13.799316	img__0_1545631460093339400.png
1545631460279	35.166283	-1.024624	-0.595887	0.999996	0.000113	0.001428	0.002505	1.000000	0.000000	0.000000	3	0	4198.491699	13.986614	img__0_1545631460269940300.png
1545631460414	36.099911	-1.019491	-0.595916	0.999997	0.000298	0.001531	0.001883	1.000000	0.000000	0.000000	3	0	4169.335449	14.169557	img__0_1545631460411354700.png
1545631460551	37.045742	-1.015226	-0.595936	0.999997	0.000401	0.001604	0.001682	1.000000	0.000000	0.000000	3	0	4146.037109	14.348348	img__0_1545631460547741300.png
1545631460685	38.003506	-1.011490	-0.595949	0.999997	0.000426	0.001653	0.001630	0.000000	0.000000	0.000000	3	0	4002.363281	14.523300	img__0_1545631460680462100.png
1545631460820	38.972832	-1.008022	-0.595955	0.999997	0.000395	0.001671	0.001627	0.000000	0.000000	0.000000	3	0	3426.973633	14.680522	img__0_1545631460816325700.png
