TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1546452704017	0.820961	-99.421043	-0.607743	0.705640	-0.000254	0.001993	0.708568	1.000000	0.000000	0.000000	3	0	3867.703125	13.144023	img__0_1546452704012783300.png
1546452704198	0.817333	-98.541298	-0.606936	0.705629	-0.000723	0.002024	0.708578	1.000000	0.000000	0.000000	3	0	3850.518311	13.324147	img__0_1546452704194838900.png
1546452704377	0.813592	-97.649841	-0.606390	0.705630	-0.001200	0.001806	0.708577	1.000000	0.000000	0.000000	3	0	3838.411865	13.499910	img__0_1546452704374514200.png
1546452704553	0.810204	-96.747055	-0.606352	0.705627	-0.001385	0.001520	0.708581	1.000000	0.000000	0.000000	3	0	3830.873291	13.672020	img__0_1546452704550254000.png
1546452704742	0.806938	-95.832817	-0.606336	0.705629	-0.001448	0.001401	0.708578	1.000000	0.000000	0.000000	3	0	3827.767090	13.841040	img__0_1546452704739287600.png
1546452704918	0.803562	-94.907326	-0.606358	0.705628	-0.001464	0.001364	0.708580	1.000000	0.000000	0.000000	3	0	3828.514404	14.007203	img__0_1546452704914279800.png
1546452705105	0.800030	-93.970856	-0.606296	0.705621	-0.001425	0.001318	0.708587	1.000000	0.000000	0.000000	3	0	3832.686768	14.170776	img__0_1546452705102534400.png
1546452705285	0.796407	-93.023483	-0.606300	0.705620	-0.001408	0.001308	0.708588	1.000000	0.000000	0.000000	3	0	3839.960449	14.331645	img__0_1546452705282932900.png
1546452705468	0.792677	-92.065414	-0.606314	0.705636	-0.001370	0.001309	0.708572	1.000000	0.000000	0.000000	3	0	3849.902588	14.490834	img__0_1546452705465101000.png
1546452705640	0.788891	-91.096779	-0.606284	0.705643	-0.001350	0.001300	0.708565	1.000000	0.000000	0.000000	3	0	3862.182617	14.647908	img__0_1546452705637473700.png
1546452705812	0.785091	-90.117691	-0.606277	0.705646	-0.001324	0.001295	0.708562	1.000000	0.000000	0.000000	3	0	3876.558350	14.803226	img__0_1546452705808912300.png
